OPR_DT,OPR_HR,MW
1/1/2019,1,42.57938
1/1/2019,2,41.32238
1/1/2019,3,39.97499
1/1/2019,4,39.59083
1/1/2019,5,40.7362
1/1/2019,6,44.09387
1/1/2019,7,44.42248
1/1/2019,8,42.52783
1/1/2019,9,37.48426
1/1/2019,10,30.67583
1/1/2019,11,23.96928
1/1/2019,12,20.00089
1/1/2019,13,16.86911
1/1/2019,14,15.62281
1/1/2019,15,22.86321
1/1/2019,16,38.49193
1/1/2019,17,46.97638
1/1/2019,18,56.23991
1/1/2019,19,65.82814
1/1/2019,20,61.64635
1/1/2019,21,55.88583
1/1/2019,22,52.76291
1/1/2019,23,49.16442
1/1/2019,24,46.61014
1/2/2019,1,45.4654
1/2/2019,2,44.22574
1/2/2019,3,43.92462
1/2/2019,4,44.16157
1/2/2019,5,45.37047
1/2/2019,6,47.1534
1/2/2019,7,61.29461
1/2/2019,8,58.97727
1/2/2019,9,45.49724
1/2/2019,10,41.42746
1/2/2019,11,38.39893
1/2/2019,12,36.43151
1/2/2019,13,33.55015
1/2/2019,14,33.31102
1/2/2019,15,36.0933
1/2/2019,16,43.91755
1/2/2019,17,54.79313
1/2/2019,18,77.66266
1/2/2019,19,78.63066
1/2/2019,20,67.22591
1/2/2019,21,62.31394
1/2/2019,22,56.35883
1/2/2019,23,48.65894
1/2/2019,24,44.84378
1/3/2019,1,43.0254
1/3/2019,2,41.47563
1/3/2019,3,42.08211
1/3/2019,4,41.3323
1/3/2019,5,43.34497
1/3/2019,6,46.25724
1/3/2019,7,60.38991
1/3/2019,8,54.46295
1/3/2019,9,44.2625
1/3/2019,10,38.21753
1/3/2019,11,35.73498
1/3/2019,12,33.81013
1/3/2019,13,30.75353
1/3/2019,14,32.29959
1/3/2019,15,35.12965
1/3/2019,16,42.71905
1/3/2019,17,53.55766
1/3/2019,18,75.37819
1/3/2019,19,78.6358
1/3/2019,20,66.15951
1/3/2019,21,61.39066
1/3/2019,22,53.78803
1/3/2019,23,47.30831
1/3/2019,24,43.4189
1/4/2019,1,42.0159
1/4/2019,2,40.52775
1/4/2019,3,40.48352
1/4/2019,4,41.28883
1/4/2019,5,42.06772
1/4/2019,6,45.91796
1/4/2019,7,58.85261
1/4/2019,8,52.10027
1/4/2019,9,43.71162
1/4/2019,10,37.08897
1/4/2019,11,35.34778
1/4/2019,12,34.54031
1/4/2019,13,32.78927
1/4/2019,14,33.05083
1/4/2019,15,34.31258
1/4/2019,16,39.65977
1/4/2019,17,53.22615
1/4/2019,18,73.26449
1/4/2019,19,71.79608
1/4/2019,20,58.84748
1/4/2019,21,56.06534
1/4/2019,22,50.84351
1/4/2019,23,46.09429
1/4/2019,24,41.87189
1/5/2019,1,39.51015
1/5/2019,2,39.13422
1/5/2019,3,37.93831
1/5/2019,4,38.0122
1/5/2019,5,37.93085
1/5/2019,6,39.84466
1/5/2019,7,41.25022
1/5/2019,8,41.72485
1/5/2019,9,41.90231
1/5/2019,10,42.26025
1/5/2019,11,40.95233
1/5/2019,12,38.94715
1/5/2019,13,37.64135
1/5/2019,14,39.15939
1/5/2019,15,40.18157
1/5/2019,16,40.28677
1/5/2019,17,43.8613
1/5/2019,18,54.61304
1/5/2019,19,55.95095
1/5/2019,20,50.76733
1/5/2019,21,47.63284
1/5/2019,22,42.87226
1/5/2019,23,40.74472
1/5/2019,24,38.0027
1/6/2019,1,36.06096
1/6/2019,2,36.08415
1/6/2019,3,34.04786
1/6/2019,4,34.57355
1/6/2019,5,36.10532
1/6/2019,6,36.57003
1/6/2019,7,38.44059
1/6/2019,8,36.81179
1/6/2019,9,36.42449
1/6/2019,10,35.02752
1/6/2019,11,31.56105
1/6/2019,12,26.61378
1/6/2019,13,24.88175
1/6/2019,14,27.73398
1/6/2019,15,31.38567
1/6/2019,16,36.54968
1/6/2019,17,41.22055
1/6/2019,18,50.33783
1/6/2019,19,52.69722
1/6/2019,20,47.0446
1/6/2019,21,44.69272
1/6/2019,22,40.99853
1/6/2019,23,36.48143
1/6/2019,24,35.19717
1/7/2019,1,36.09506
1/7/2019,2,34.68941
1/7/2019,3,33.55661
1/7/2019,4,34.75561
1/7/2019,5,36.66523
1/7/2019,6,41.08359
1/7/2019,7,51.42272
1/7/2019,8,59.68802
1/7/2019,9,47.54955
1/7/2019,10,47.00386
1/7/2019,11,42.91644
1/7/2019,12,40.56919
1/7/2019,13,36.99225
1/7/2019,14,36.89782
1/7/2019,15,36.43012
1/7/2019,16,42.23721
1/7/2019,17,58.00998
1/7/2019,18,89.92008
1/7/2019,19,73.32472
1/7/2019,20,67.54529
1/7/2019,21,57.41309
1/7/2019,22,48.16681
1/7/2019,23,44.86374
1/7/2019,24,40.26454
1/8/2019,1,36.4344
1/8/2019,2,35.66059
1/8/2019,3,34.15539
1/8/2019,4,34.68966
1/8/2019,5,36.91851
1/8/2019,6,41.65077
1/8/2019,7,53.08389
1/8/2019,8,70.17717
1/8/2019,9,52.08932
1/8/2019,10,46.9695
1/8/2019,11,43.24085
1/8/2019,12,40.96251
1/8/2019,13,35.22079
1/8/2019,14,37.87407
1/8/2019,15,40.63944
1/8/2019,16,43.76418
1/8/2019,17,63.17916
1/8/2019,18,80.58501
1/8/2019,19,65.78669
1/8/2019,20,64.57306
1/8/2019,21,54.17373
1/8/2019,22,49.37046
1/8/2019,23,42.43717
1/8/2019,24,38.62205
1/9/2019,1,37.79579
1/9/2019,2,37.32824
1/9/2019,3,35.41314
1/9/2019,4,36.1803
1/9/2019,5,38.26272
1/9/2019,6,42.52061
1/9/2019,7,51.02672
1/9/2019,8,53.94141
1/9/2019,9,39.83105
1/9/2019,10,37.0544
1/9/2019,11,35.60774
1/9/2019,12,34.03311
1/9/2019,13,35.55339
1/9/2019,14,35.0346
1/9/2019,15,36.6183
1/9/2019,16,40.48409
1/9/2019,17,55.12427
1/9/2019,18,74.4131
1/9/2019,19,68.99869
1/9/2019,20,62.37693
1/9/2019,21,54.3187
1/9/2019,22,49.48585
1/9/2019,23,41.34834
1/9/2019,24,38.58931
1/10/2019,1,34.25633
1/10/2019,2,33.71797
1/10/2019,3,32.274
1/10/2019,4,32.57412
1/10/2019,5,34.34272
1/10/2019,6,39.53815
1/10/2019,7,52.23828
1/10/2019,8,51.27863
1/10/2019,9,38.15298
1/10/2019,10,34.67847
1/10/2019,11,34.85548
1/10/2019,12,35.1569
1/10/2019,13,32.4936
1/10/2019,14,33.74011
1/10/2019,15,35.69021
1/10/2019,16,35.77724
1/10/2019,17,49.76651
1/10/2019,18,70.23661
1/10/2019,19,68.02605
1/10/2019,20,60.32433
1/10/2019,21,52.1836
1/10/2019,22,44.17643
1/10/2019,23,40.09606
1/10/2019,24,36.93815
1/11/2019,1,35.76634
1/11/2019,2,34.21344
1/11/2019,3,33.29452
1/11/2019,4,32.60457
1/11/2019,5,35.88289
1/11/2019,6,41.73004
1/11/2019,7,53.33309
1/11/2019,8,51.16492
1/11/2019,9,38.90484
1/11/2019,10,35.43637
1/11/2019,11,34.58464
1/11/2019,12,32.81877
1/11/2019,13,34.6198
1/11/2019,14,34.5154
1/11/2019,15,34.274
1/11/2019,16,38.38797
1/11/2019,17,46.05014
1/11/2019,18,64.70523
1/11/2019,19,57.47638
1/11/2019,20,52.1062
1/11/2019,21,43.86731
1/11/2019,22,41.06246
1/11/2019,23,37.71014
1/11/2019,24,35.21714
1/12/2019,1,35.47562
1/12/2019,2,32.74408
1/12/2019,3,31.50719
1/12/2019,4,33.37852
1/12/2019,5,35.53283
1/12/2019,6,36.70414
1/12/2019,7,39.24469
1/12/2019,8,38.27939
1/12/2019,9,39.56221
1/12/2019,10,38.02148
1/12/2019,11,37.1954
1/12/2019,12,34.99891
1/12/2019,13,34.34682
1/12/2019,14,34.99756
1/12/2019,15,34.29098
1/12/2019,16,36.77279
1/12/2019,17,41.10591
1/12/2019,18,51.95891
1/12/2019,19,50.56893
1/12/2019,20,48.31551
1/12/2019,21,43.19869
1/12/2019,22,41.98834
1/12/2019,23,38.75597
1/12/2019,24,37.42282
1/13/2019,1,36.61746
1/13/2019,2,35.54529
1/13/2019,3,35.01861
1/13/2019,4,35.4906
1/13/2019,5,35.48381
1/13/2019,6,38.22631
1/13/2019,7,38.51289
1/13/2019,8,37.39913
1/13/2019,9,32.91441
1/13/2019,10,31.19452
1/13/2019,11,29.6843
1/13/2019,12,27.29565
