INTERVALSTARTTIME_GMT,OPR_DT,OPR_HR,MW
2020-01-01T08:00:00-00:00,1/1/2020,1,33.91406
2020-01-01T09:00:00-00:00,1/1/2020,2,32.06336
2020-01-01T10:00:00-00:00,1/1/2020,3,33.47986
2020-01-01T11:00:00-00:00,1/1/2020,4,32.7135
2020-01-01T12:00:00-00:00,1/1/2020,5,32.11557
2020-01-01T13:00:00-00:00,1/1/2020,6,34.59035
2020-01-01T14:00:00-00:00,1/1/2020,7,35.81554
2020-01-01T15:00:00-00:00,1/1/2020,8,34.17372
2020-01-01T16:00:00-00:00,1/1/2020,9,30.64275
2020-01-01T17:00:00-00:00,1/1/2020,10,24.55736
2020-01-01T18:00:00-00:00,1/1/2020,11,21.78661
2020-01-01T19:00:00-00:00,1/1/2020,12,20.18713
2020-01-01T20:00:00-00:00,1/1/2020,13,17.19237
2020-01-01T21:00:00-00:00,1/1/2020,14,14.58139
2020-01-01T22:00:00-00:00,1/1/2020,15,18.24127
2020-01-01T23:00:00-00:00,1/1/2020,16,25.54745
2020-01-02T00:00:00-00:00,1/1/2020,17,36.8338
2020-01-02T01:00:00-00:00,1/1/2020,18,40.90898
2020-01-02T02:00:00-00:00,1/1/2020,19,40.46576
2020-01-02T03:00:00-00:00,1/1/2020,20,39.56343
2020-01-02T04:00:00-00:00,1/1/2020,21,39.7642
2020-01-02T05:00:00-00:00,1/1/2020,22,36.8215
2020-01-02T06:00:00-00:00,1/1/2020,23,32.9364
2020-01-02T07:00:00-00:00,1/1/2020,24,31.58768
2020-01-02T08:00:00-00:00,1/2/2020,1,30.24438
2020-01-02T09:00:00-00:00,1/2/2020,2,31.13787
2020-01-02T10:00:00-00:00,1/2/2020,3,28.74271
2020-01-02T11:00:00-00:00,1/2/2020,4,30.8967
2020-01-02T12:00:00-00:00,1/2/2020,5,30.70574
2020-01-02T13:00:00-00:00,1/2/2020,6,36.87626
2020-01-02T14:00:00-00:00,1/2/2020,7,43.91329
2020-01-02T15:00:00-00:00,1/2/2020,8,44.10297
2020-01-02T16:00:00-00:00,1/2/2020,9,41.61997
2020-01-02T17:00:00-00:00,1/2/2020,10,34.6308
2020-01-02T18:00:00-00:00,1/2/2020,11,33.36144
2020-01-02T19:00:00-00:00,1/2/2020,12,30.2535
2020-01-02T20:00:00-00:00,1/2/2020,13,29.67204
2020-01-02T21:00:00-00:00,1/2/2020,14,29.95409
2020-01-02T22:00:00-00:00,1/2/2020,15,32.5807
2020-01-02T23:00:00-00:00,1/2/2020,16,37.06974
2020-01-03T00:00:00-00:00,1/2/2020,17,45.41432
2020-01-03T01:00:00-00:00,1/2/2020,18,69.11368
2020-01-03T02:00:00-00:00,1/2/2020,19,50.19039
2020-01-03T03:00:00-00:00,1/2/2020,20,46.37322
