OPR_DT,OPR_HR,MW - Regulation Down MAX,MW - Regulation Down Min,MW - Regulation Up MAX,MW - Regulation Up Min
1/1/2020,1,900,8.88,0,8.88
1/1/2020,2,900,8.88,0,8.88
1/1/2020,3,900,8.88,0,8.88
1/1/2020,4,900,8.88,0,8.88
1/1/2020,5,900,8.88,0,8.88
1/1/2020,6,900,8.88,0,8.88
1/1/2020,7,900,8.88,0,8.88
1/1/2020,8,900,8.88,0,8.88
1/1/2020,9,900,8.88,0,8.88
1/1/2020,10,900,8.88,0,8.88
1/1/2020,11,900,8.88,0,8.88
1/1/2020,12,900,8.88,0,8.88
1/1/2020,13,900,8.88,0,8.88
1/1/2020,14,900,8.88,0,8.88
1/1/2020,15,900,8.88,0,8.88
1/1/2020,16,920.35,8.88,0,8.88
1/1/2020,17,1119.18,8.88,0,8.88
1/1/2020,18,900,8.88,0,8.88
1/1/2020,19,900,8.88,0,8.88
1/1/2020,20,900,8.88,0,8.88
1/1/2020,21,900,8.88,0,8.88
1/1/2020,22,900,8.88,0,8.88
1/1/2020,23,900,8.88,0,8.88
1/1/2020,24,900,8.88,0,8.88
1/2/2020,1,900,8.88,0,8.88
1/2/2020,2,900,8.88,0,8.88
1/2/2020,3,900,8.88,0,8.88
1/2/2020,4,900,8.88,0,8.88
1/2/2020,5,900,8.88,0,8.88
1/2/2020,6,1034.22,8.88,0,8.88
1/2/2020,7,900,8.88,0,8.88
1/2/2020,8,900,8.88,0,8.88
1/2/2020,9,900,8.88,0,8.88
1/2/2020,10,900,8.88,0,8.88
1/2/2020,11,900,8.88,0,8.88
1/2/2020,12,900,8.88,0,8.88
1/2/2020,13,900,8.88,0,8.88
1/2/2020,14,900,8.88,0,8.88
1/2/2020,15,900,8.88,0,8.88
1/2/2020,16,900,8.88,0,8.88
1/2/2020,17,1043.12,8.88,0,8.88
1/2/2020,18,900,8.88,0,8.88
1/2/2020,19,900,8.88,0,8.88
1/2/2020,20,900,8.88,0,8.88
1/2/2020,21,900,8.88,0,8.88
1/2/2020,22,900,8.88,0,8.88
1/2/2020,23,900,8.88,0,8.88
1/2/2020,24,900,8.88,0,8.88
1/3/2020,1,900,8.88,0,8.88
1/3/2020,2,900,8.88,0,8.88
1/3/2020,3,900,8.88,0,8.88
1/3/2020,4,900,8.88,0,8.88
1/3/2020,5,900,8.88,0,8.88
1/3/2020,6,1007.8,8.88,0,8.88
1/3/2020,7,900,8.88,0,8.88
1/3/2020,8,900,8.88,0,8.88
1/3/2020,9,900,8.88,0,8.88
1/3/2020,10,900,8.88,0,8.88
1/3/2020,11,900,8.88,0,8.88
1/3/2020,12,900,8.88,0,8.88
1/3/2020,13,900,8.88,0,8.88
1/3/2020,14,900,8.88,0,8.88
1/3/2020,15,900,8.88,0,8.88
1/3/2020,16,900,8.88,0,8.88
1/3/2020,17,998.19,8.88,0,8.88
1/3/2020,18,900,8.88,0,8.88
1/3/2020,19,900,8.88,0,8.88
